year,sample_id,farm_name,producer_id,field_name,field_id,county,crop,longitude,latitude,sample_date,depth,start_depth_inches,end_depth_inches,huc8_name,hc12_name,huc12,density_g_ml,density2_mlb_ac,om_percent,ph,ph_ae,ec_mmhos_cm,est_ss_ds_m,effervescence,cec_meq_100g,est_cec_meq_100g,total_bases_meq_100g,no3_n_mg_kg,no3_n_lb_ac,nh4_n_mg_kg,nh4_n_lb_ac,p_olsen_mg_kg,bray_p_mg_kg,k_mg_kg,exch_k_meq_100g,ca_mg_kg,mg_mg_kg,na_mg_kg,s_mg_kg,s_lb_ac,b_mg_kg,cl_mg_kg,cu_mg_kg,fe_mg_kg,mn_mg_kg,zn_mg_kg,al_mg_kg,al_kcl_mg_kg,ca_kcl_mg_kg,mg_kcl_mg_kg,na_kcl_mg_kg,wilting_point,field_capacity,h2o_wet_dry,avl_h2o_in,avl_h2o_percent
2014,COLUMBIA CONSERVATION DISTRICT-14-56-NA-NA-2014-05-04-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-56,Columbia,,,,2014-05-04,0-3,0,3,,,,1.34,0.9113,3.46,5.43,7.37,0.15,0.39,0,,16.7883,12.3541,4,3.6448,2.8,2.5514,30,51,552.9,1.4141,8.3,2.6,0.04,4,3.6448,0.21,3.1,1.33,89,14.9,0.46,17,2.6,1660,316.16,9.2,1.06,0.2,1.1783,0.4756,79.2667
2014,COLUMBIA CONSERVATION DISTRICT-14-56-NA-NA-2014-05-04-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-56,Columbia,,,,2014-05-04,3-6,3,6,,,,1.38,0.9385,2.34,4.64,7.13,0.15,0.39,0,,14.9955,9.8596,3.6,3.3782,5.8,5.4427,32,58,242.25,0.6196,7.2,2,0.04,8,7.5072,0.13,2.1,1.59,127,34,0.35,52,79,1440,243.2,9.2,1.06,0.2,1.1784,0.4902,81.7
2014,COLUMBIA CONSERVATION DISTRICT-14-56-NA-NA-2014-05-04-6-12,,COLUMBIA CONSERVATION DISTRICT,,14-56,Columbia,,,,2014-05-04,6-12,6,12,,,,1.26,1.7139,1.68,5.5,7.41,0.16,0.416,0,,20.0079,15.0135,2.2,3.7699,2.5,4.284,28,43,290.7,0.7435,10.9,3.3,0.07,5,8.568,0.13,1.6,1.58,61,8.3,0.14,6,2.8,2180,401.28,16.1,1.06,0.2,1.1755,0.8732,72.7667
2014,COLUMBIA CONSERVATION DISTRICT-14-56-NA-NA-2014-05-04-12-24,,COLUMBIA CONSERVATION DISTRICT,,14-56,Columbia,,,,2014-05-04,12-24,12,24,,,,1.28,3.4821,1.02,6.47,7.54,0.1,0.26,0,,17.2757,14.2328,2.6,9.0522,1.7,5.9187,22,28,231.8,0.5928,9.9,3.7,0.04,2,6.9632,0.12,1.8,1.65,41,2.9,0.11,1,0.6,1980,449.92,9.2,1.06,0.2,1.1578,1.5022,62.5917
2014,COLUMBIA CONSERVATION DISTRICT-14-57-46.3368--118.00338-2014-05-04-0-3,,COLUMBIA CONSERVATION DISTRICT,Moyer,14-57,Columbia,,-118.0033777,46.3367983,2014-05-04,0-3,0,3,Touchet,Payne Hollow-Touchet River,170701020401,1.35,0.9181,2.24,5.01,7.28,0.3,0.78,0,,20.419,14.6094,23.1,21.2058,16.9,15.5142,15,34,210.9,0.5394,10.4,3.6,0.07,9,8.262,0.12,3.8,1.6,70,17.4,0.27,6,15.3,2080,437.76,16.1,1.06,0.2,1.1761,0.4702,78.3667
2014,COLUMBIA CONSERVATION DISTRICT-14-57-46.3368--118.00338-2014-05-04-3-6,,COLUMBIA CONSERVATION DISTRICT,Moyer,14-57,Columbia,,-118.0033777,46.3367983,2014-05-04,3-6,3,6,Touchet,Payne Hollow-Touchet River,170701020401,1.36,0.92490000000000006,1.36,5.14,7.33,0.2,0.52,0,,20.3759,14.7688,9.8,9.063,5.8,5.3638,18,25,116.85,0.2988,10.9,3.5,0.07,6,5.5488,0.12,2.2,1.62,62,9.1,0.14,5,16.3,2180,425.6,16.1,1.06,0.2,1.1735,0.4631,77.1833
2014,COLUMBIA CONSERVATION DISTRICT-14-57-46.3368--118.00338-2014-05-04-6-12,,COLUMBIA CONSERVATION DISTRICT,Moyer,14-57,Columbia,,-118.0033777,46.3367983,2014-05-04,6-12,6,12,Touchet,Payne Hollow-Touchet River,170701020401,1.37,1.8635,1.24,6.03,7.5,0.14,0.364,0,,23.6776,18.7742,5.3,9.875,3.5,6.5212,14,13,146.3,0.3742,14,4.3,0.1,3,5.5896,0.15,1.8,1.83,39,5.2,0.12,1,1,2800,522.88,23,1.06,0.2,1.1938,1.0998000000000001,91.65
2014,COLUMBIA CONSERVATION DISTRICT-14-57-46.3368--118.00338-2014-05-04-12-24,,COLUMBIA CONSERVATION DISTRICT,Moyer,14-57,Columbia,,-118.0033777,46.3367983,2014-05-04,12-24,12,24,Touchet,Payne Hollow-Touchet River,170701020401,1.38,3.7542,0.98,6.7,,0.19,0.494,0,,24.0658,20.1743,3.7,13.8883,2.3,8.6333,12,17,111.15,0.2843,16,3.8,0.09,3,11.2608,0.17,2.3,1.87,25,3.2,0.09,0,0.4,3200,462.08,20.7,1.06,0.2,1.1844,2.0601,85.8375
2014,COLUMBIA CONSERVATION DISTRICT-14-58-46.23509--118.09074-2014-05-04-0-3,,COLUMBIA CONSERVATION DISTRICT,McCowen,14-58,Columbia,,-118.0907395,46.23509137,2014-05-04,0-3,0,3,Touchet,Wilson Creek-Touchet River,170701020403,1.36,0.92490000000000006,3.32,5.11,7.24,0.2,0.52,0,,16.9862,12.0601,13.8,12.7622,3.4,3.1443,26,45,437.95,1.1201,8.5,2.4,0.04,5,4.624,0.15,1.8,1.7,102,25.5,0.54,25,3.8,1700,291.84,9.2,1.06,0.2,1.1373,0.3154,52.5667
2014,COLUMBIA CONSERVATION DISTRICT-14-58-46.23509--118.09074-2014-05-04-3-6,,COLUMBIA CONSERVATION DISTRICT,McCowen,14-58,Columbia,,-118.0907395,46.23509137,2014-05-04,3-6,3,6,Touchet,Wilson Creek-Touchet River,170701020403,1.35,0.9181,2.78,4.85,7.2,0.24,0.624,0,,18.019,12.5008,14.6,13.4028,9.5,8.721,28,44,293.55,0.7508,9.1,2.6,0.05,7,6.426,0.12,1.4,1.79,112,31.4,0.44,27,15.5,1820,316.16,11.5,1.06,0.2,1.1521,0.373,62.1667
2014,COLUMBIA CONSERVATION DISTRICT-14-58-46.23509--118.09074-2014-05-04-6-12,,COLUMBIA CONSERVATION DISTRICT,McCowen,14-58,Columbia,,-118.0907395,46.23509137,2014-05-04,6-12,6,12,Touchet,Wilson Creek-Touchet River,170701020403,1.39,1.8907,1.98,5.5,7.4,0.25,0.65,0,,23.7036,17.9529,11.5,21.7396,1.9,3.5918,25,37,298.3,0.7629,13,4.1,0.09,5,9.452,0.14,1.3,1.78,70,8.5,0.25,5,1.5,2600,498.56,20.7,1.06,0.2,1.1742,0.9524,79.3667
2014,COLUMBIA CONSERVATION DISTRICT-14-58-46.23509--118.09074-2014-05-04-12-24,,COLUMBIA CONSERVATION DISTRICT,McCowen,14-58,Columbia,,-118.0907395,46.23509137,2014-05-04,12-24,12,24,Touchet,Wilson Creek-Touchet River,170701020403,1.32,3.5909,1.32,6.41,7.56,0.25,0.65,0,,23.1126,18.922,10,35.904,2.2,7.8989,26,35,243.2,0.622,13.1,5.1,0.1,3,10.7712,0.16,1.7,1.7,37,3.2,0.14,1,1,2620,620.16,23,1.06,0.2,1.1646,1.6569,69.0375
2014,COLUMBIA CONSERVATION DISTRICT-14-67-NA-NA-2014-05-04-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-67,Columbia,,,,2014-05-04,0-3,0,3,,,,1.25,0.8501,3.46,5.42,7.38,0.18,0.468,0,,15.6914,11.4697,4.1,3.485,2.9,2.465,20,34,746.7,1.9097,6.9,2.6,0.06,6,5.1,0.23,3.2,1.19,74,19.4,0.72,11,2.6,1380,316.16,13.8,1.06,0.2,1.1744,0.429,71.5
2014,COLUMBIA CONSERVATION DISTRICT-14-67-NA-NA-2014-05-04-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-67,Columbia,,,,2014-05-04,3-6,3,6,,,,1.28,0.8705,2.26,5.47,7.42,0.18,0.468,0,,18.1853,13.5205,3.3,2.8723,2,1.7408,19,32,567.15,1.4505,8.9,3.1,0.07,7,6.0928,0.24,2.9,1.33,68,10.7,0.4,9,1.4,1780,376.96,16.1,1.06,0.2,1.1137,0.2062,34.3667
2014,COLUMBIA CONSERVATION DISTRICT-14-67-NA-NA-2014-05-04-6-12,,COLUMBIA CONSERVATION DISTRICT,,14-67,Columbia,,,,2014-05-04,6-12,6,12,,,,1.32,1.7955,1.62,6.96,,0.19,0.494,0,,17.9225,15.4848,2.6,4.6675,1.2,2.1542,8.4,16,475,1.2148,10.7,3.5,0.07,3,5.3856,0.44,2.8,1.23,20,2.7,0.14,1,0.5,2140,425.6,16.1,1.06,0.2,1.0959,0.2843,23.6917
2014,COLUMBIA CONSERVATION DISTRICT-14-67-NA-NA-2014-05-04-12-24,,COLUMBIA CONSERVATION DISTRICT,,14-67,Columbia,,,,2014-05-04,12-24,12,24,,,,1.35,3.6725,1.18,7.73,,0.22,0.572,0,,17.9594,16.6657,1.7,6.2424,1.3,4.7736,5,11,260.3,0.6657,12.7,3.2,0.1,2,7.344,0.53,3.4,1.34,13,1,0.09,0,1,2540,389.12,23,1.06,0.2,1.1005,0.6561,27.3375
2014,COLUMBIA CONSERVATION DISTRICT-14-74-NA-NA-2014-05-04-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-74,Columbia,,,,2014-05-04,0-3,0,3,,,,1.05,0.7141,3.14,6.62,,0.16,0.416,0,,12.8806,10.8301,4.2,2.9988,2.2,1.5708,12,21,606.1,1.5501,7.1,2.1,0.08,3,2.142,0.48,4.4,0.57,32,4,0.95,4,2.6,1420,255.36,18.4,1.06,0.2,1.1773,0.3695,61.5833
2014,COLUMBIA CONSERVATION DISTRICT-14-74-NA-NA-2014-05-04-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-74,Columbia,,,,2014-05-04,3-6,3,6,,,,1.09,0.7413,1.89,6.35,7.68,0.11,0.286,0,,11.1038,9.0185,2.5,1.853,1.2,0.8894,5.6,14,527.25,1.3485,5.8,1.8,0.07,2,1.4824,0.25,2.6,0.6,30,1.8,0.28,5,0.9,1160,218.88,16.1,1.06,0.2,1.1399,0.2613,43.55
2014,COLUMBIA CONSERVATION DISTRICT-14-74-NA-NA-2014-05-04-6-12,,COLUMBIA CONSERVATION DISTRICT,,14-74,Columbia,,,,2014-05-04,6-12,6,12,,,,1.12,1.5234,1.4,6.62,,0.08,0.208,0,,8.8845,7.5384,1.4,2.1325,0.8,1.2186,4.8,11,460.75,1.1784,4.9,1.4,0.06,2,3.0464,0.19,1.8,0.71,21,1.1,0.13,3,0.6,980,170.24,13.8,1.06,0.2,1.1437,0.5625,46.875
2014,COLUMBIA CONSERVATION DISTRICT-14-74-NA-NA-2014-05-04-12-24,,COLUMBIA CONSERVATION DISTRICT,,14-74,Columbia,,,,2014-05-04,12-24,12,24,,,,1.16,3.1557,1.13,6.82,,0.07,0.182,0,,8.8713,7.7744,1.5,4.7328,0.8,2.5242,3.8,9,345.8,0.8844,5,1.8,0.09,1,3.1552,0.16,1.5,0.76,14,0.9,0.11,2,0.5,1000,218.88,20.7,1.06,0.2,1.1406,1.122,46.75
2014,COLUMBIA CONSERVATION DISTRICT-14-5-NA-NA-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-5,Columbia,,,,2014-05-17,0-3,0,3,,,,1.16,0.7889,4.32,4.83,7.24,0.24,0.624,0,,15.0141,10.1306,16.9,13.3307,3.6,2.8397,45,89,700.12,1.7906,6.8,1.5,0.04,8,6.3104,0.23,2.4,1.66,133,47.2,1.13,53,23.1,1360,182.4,9.2,1.06,0.2,1.1913,0.4569,76.15
2014,COLUMBIA CONSERVATION DISTRICT-14-5-NA-NA-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-5,Columbia,,,,2014-05-17,3-6,3,6,,,,1.13,0.7685,2.76,4.93,7.2,0.16,0.416,0,,16.2994,11.2706,8,6.1472,2.4,1.8442,42,82,481.16,1.2306,8.2,1.8,0.04,7,5.3788,0.16,1.9,2.07,108,38.7,0.57,30,10.2,1640,218.88,9.2,1.06,0.2,1.1968,0.4638,77.3
2014,COLUMBIA CONSERVATION DISTRICT-14-5-NA-NA-2014-05-17-6-12,,COLUMBIA CONSERVATION DISTRICT,,14-5,Columbia,,,,2014-05-17,6-12,6,12,,,,1.08,1.469,2.4,6.12,7.52,0.15,0.39,0,,18.8351,14.9918,8.1,11.8973,1.2,1.7626,36,61,489.44,1.2518,11.1,2.6,0.04,3,4.4064,0.26,1.8,1.64,50,6.8,0.25,2,0.1,2220,316.16,9.2,1.06,0.2,1.2182,1.0251,85.425
2014,COLUMBIA CONSERVATION DISTRICT-14-5-NA-NA-2014-05-17-12-24,,COLUMBIA CONSERVATION DISTRICT,,14-5,Columbia,,,,2014-05-17,12-24,12,24,,,,1.08,2.938,1.69,6.76,,0.19,0.494,0,,18.8041,15.9188,9.2,27.0259,0.6,1.7626,37,59,382.72,0.9788,11.6,3.3,0.04,2,5.8752,0.28,2.6,1.49,29,4.9,0.24,1,0.2,2320,401.28,9.2,1.06,0.2,1.2226,2.1073,87.8042
2014,COLUMBIA CONSERVATION DISTRICT-14-6-46.36046--117.76145-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,Juris,14-6,Columbia,,-117.761453,46.36045941,2014-05-17,0-3,0,3,Touchet,North Patit Creek,170701020306,1.3,0.8841,3.8,5.11,7.3,0.19,0.494,0,,16.4359,11.6276,10.3,9.1052,3.2,2.8288,34,60,468.28,1.1976,8.2,2.2,0.03,7,6.188,0.15,1.8,2.27,102,33.2,1.65,23,4.8,1640,267.52,6.9,1.06,0.2,1.1464,0.337,56.1667
2014,COLUMBIA CONSERVATION DISTRICT-14-6-46.36046--117.76145-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,Juris,14-6,Columbia,,-117.761453,46.36045941,2014-05-17,3-6,3,6,Touchet,North Patit Creek,170701020306,1.29,0.8773,2.84,5,7.27,0.13,0.338,0,,17.9313,12.6459,5.5,4.8246,2.7,2.3684,30,52,276,0.7059,9.4,2.5,0.04,6,5.2632,0.12,1.2,2.13,93,22.6,0.8,21,10.6,1880,304,9.2,1.06,0.2,1.1534,0.3615,60.25
2014,COLUMBIA CONSERVATION DISTRICT-14-6-46.36046--117.76145-2014-05-17-6-12,,COLUMBIA CONSERVATION DISTRICT,Juris,14-6,Columbia,,-117.761453,46.36045941,2014-05-17,6-12,6,12,Touchet,North Patit Creek,170701020306,1.2,1.6322,1.92,5.68,7.43,0.14,0.364,0,,20.0709,15.3324,5.7,9.3024,1.6,2.6112,27,44,266.8,0.6824,11.1,3.5,0.05,4,6.528,0.17,1.3,2.04,57,9.2,0.43,4,0.2,2220,425.6,11.5,1.06,0.2,1.1898,0.9346,77.8833
2014,COLUMBIA CONSERVATION DISTRICT-14-6-46.36046--117.76145-2014-05-17-12-24,,COLUMBIA CONSERVATION DISTRICT,Juris,14-6,Columbia,,-117.761453,46.36045941,2014-05-17,12-24,12,24,Touchet,North Patit Creek,170701020306,1.28,3.4821,1.28,6.38,7.6,0.21,0.546,0,,18.968,15.485900000000001,5.8,20.1933,1.9,6.615,23,33,244.72,0.6259,10.7,4.1,0.06,2,6.9632,0.16,2.1,1.72,34,5.1,0.17,1,0.3,2140,498.56,13.8,1.06,0.2,1.1847,1.9154,79.8083
2014,COLUMBIA CONSERVATION DISTRICT-14-11-46.22412--117.96229-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,Brown,14-11,Columbia,,-117.9622938,46.22411761,2014-05-17,0-3,0,3,Touchet,Payne Hollow-Touchet River,170701020401,1.24,0.8433,5,4.84,7.24,0.18,0.468,0,,13.631,9.0659,11,9.2752,7.6,6.4083,33,68,526.24,1.3459,6.4,1.3,0.02,8,6.7456,0.12,2.6,1.4,118,55.6,0.9,44,27.6,1280,158.08,4.6,1.06,0.2,1.1794,0.4442,74.0333
2014,COLUMBIA CONSERVATION DISTRICT-14-11-46.22412--117.96229-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,Brown,14-11,Columbia,,-117.9622938,46.22411761,2014-05-17,3-6,3,6,Touchet,Payne Hollow-Touchet River,170701020401,1.3,0.8841,3.42,4.22,7,0.2,0.52,0,,11.645,6.9712,14.3,12.6412,10.1,8.9284,41,84,211.6,0.5412,5.6,0.8,0.03,11,9.724,0.1,1,1.72,142,84.8,0.73,66,160,1120,97.28,6.9,1.06,0.2,1.1573,0.3795,63.25
2014,COLUMBIA CONSERVATION DISTRICT-14-11-46.22412--117.96229-2014-05-17-6-12,,COLUMBIA CONSERVATION DISTRICT,Brown,14-11,Columbia,,-117.9622938,46.22411761,2014-05-17,6-12,6,12,Touchet,Payne Hollow-Touchet River,170701020401,1.31,1.7819,3.02,5.05,7.29,0.21,0.546,0,,16.1706,11.3359,10.9,19.4194,3.8,6.7701,20,34,276,0.7059,9.2,1.4,0.03,7,12.4712,0.16,1.2,1.68,89,25,0.37,21,6.1,1840,170.24,6.9,1.06,0.2,1.1834,0.9699,80.825
2014,COLUMBIA CONSERVATION DISTRICT-14-11-46.22412--117.96229-2014-05-17-12-24,,COLUMBIA CONSERVATION DISTRICT,Brown,14-11,Columbia,,-117.9622938,46.22411761,2014-05-17,12-24,12,24,Touchet,Payne Hollow-Touchet River,170701020401,1.33,3.6181,1.73,6.18,7.57,0.22,0.572,0,,16.751,13.3876,13,47.0288,1.5,5.4264,10,14,249.32,0.6376,10.4,2.3,0.05,4,14.4704,0.23,2.6,1.5,43,5.3,0.14,3,0.2,2080,279.68,11.5,1.06,0.2,1.2114,2.4163,100.6792
2014,COLUMBIA CONSERVATION DISTRICT-14-18-46.32702--118.06304-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,Smith,14-18,Columbia,,-118.0630399,46.32702132,2014-05-17,0-3,0,3,Touchet,Payne Hollow-Touchet River,170701020401,1.22,0.8297,3.98,5.2,7.32,0.21,0.546,0,,15.2737,10.8371,12.7,10.5359,4.7,3.8991,28,50,784.76,2.0071,7.3,1.5,0.03,7,5.8072,0.16,2.2,1.31,85,32.3,0.99,26,2.9,1460,182.4,6.9,1.06,0.2,1.159,0.3623,60.3833
2014,COLUMBIA CONSERVATION DISTRICT-14-18-46.32702--118.06304-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,Smith,14-18,Columbia,,-118.0630399,46.32702132,2014-05-17,3-6,3,6,Touchet,Payne Hollow-Touchet River,170701020401,1.24,0.8433,2.86,4.69,7.21,0.2,0.52,0,,14.086,9.2212,8.1,6.8299,6.4,5.3965,30,54,461.84,1.1812,6.9,1.1,0.04,10,8.432,0.12,1.9,1.6,101,47.1,0.64,53,36.3,1380,133.76,9.2,1.06,0.2,1.1733,0.4215,70.25
2014,COLUMBIA CONSERVATION DISTRICT-14-18-46.32702--118.06304-2014-05-17-6-12,,COLUMBIA CONSERVATION DISTRICT,Smith,14-18,Columbia,,-118.0630399,46.32702132,2014-05-17,6-12,6,12,Touchet,Payne Hollow-Touchet River,170701020401,1.22,1.6594,2.44,5.6,7.47,0.18,0.468,0,,16.6419,12.4771,8.2,13.6054,1.5,2.4888,16,29,440.68,1.1271,9.7,1.6,0.05,6,9.9552,0.17,2.1,1.44,51,8.8,0.3,8,1.4,1940,194.56,11.5,1.06,0.2,1.2028,1.0453,87.1083
2014,COLUMBIA CONSERVATION DISTRICT-14-18-46.32702--118.06304-2014-05-17-12-24,,COLUMBIA CONSERVATION DISTRICT,Smith,14-18,Columbia,,-118.0630399,46.32702132,2014-05-17,12-24,12,24,Touchet,Payne Hollow-Touchet River,170701020401,1.2,3.2645,1.56,6.61,,0.2,0.52,0,,13.8432,11.6094,9.5,31.008,0.9,2.9376,11,21,488.52,1.2494,8.5,1.8,0.06,3,9.792,0.2,3,1.19,22,2.9,0.12,1,0.1,1700,218.88,13.8,1.06,0.2,1.2133,2.2075,91.9792
2014,COLUMBIA CONSERVATION DISTRICT-14-20-46.30361--117.83799-2014-05-18-0-3,,COLUMBIA CONSERVATION DISTRICT,Cahill,14-20,Columbia,,-117.8379897,46.30361267,2014-05-18,0-3,0,3,Touchet,Lower North Fork Touchet River,170701020308,1.28,0.8705,3.58,4.56,7.17,0.27,0.702,0,,12.832,8.0794,19.3,16.7987,35.4,30.8122,49,91,410.32,1.0494,6,1,0.03,20,17.408,0.15,1,1.44,151,51.3,1.17,58,40.4,1200,121.6,6.9,1.06,0.2,1.2196,0.6129,102.15
2014,COLUMBIA CONSERVATION DISTRICT-14-20-46.30361--117.83799-2014-05-18-3-6,,COLUMBIA CONSERVATION DISTRICT,Cahill,14-20,Columbia,,-117.8379897,46.30361267,2014-05-18,3-6,3,6,Touchet,Lower North Fork Touchet River,170701020308,1.27,0.8637,2.96,4.74,7.24,0.2,0.52,0,,14.0906,9.2912,9.3,8.0315,4.5,3.8862,41,75,336.72,0.8612,7.3,1.1,0.03,13,11.2268,0.16,0.8,1.53,122,32.8,0.89,25,24.4,1460,133.76,6.9,1.06,0.2,1.2101,0.5719,95.3167
2014,COLUMBIA CONSERVATION DISTRICT-14-20-46.30361--117.83799-2014-05-18-6-12,,COLUMBIA CONSERVATION DISTRICT,Cahill,14-20,Columbia,,-117.8379897,46.30361267,2014-05-18,6-12,6,12,Touchet,Lower North Fork Touchet River,170701020308,1.21,1.6458,3.5,5.79,7.4,0.2,0.52,0,,18.6589,14.3641,7.7,12.6711,1.8,2.9621,40,70,365.24,0.9341,11.5,1.9,0.03,7,11.5192,0.35,1.2,1.47,82,10.8,1.16,7,0.8,2300,231.04,6.9,1.06,0.2,1.2429,1.3279,110.6583
2014,COLUMBIA CONSERVATION DISTRICT-14-20-46.30361--117.83799-2014-05-18-12-24,,COLUMBIA CONSERVATION DISTRICT,Cahill,14-20,Columbia,,-117.8379897,46.30361267,2014-05-18,12-24,12,24,Touchet,Lower North Fork Touchet River,170701020308,1.31,3.5637,2.9,6.53,7.54,0.24,0.624,0,,20.3104,16.8124,9,32.0688,1.5,5.3448,37,60,251.16,0.6424,13.3,2.8,0.07,6,21.3792,0.46,1.6,1.32,49,5.4,0.41,2,0.2,2660,340.48,16.1,1.06,0.2,1.2476,2.9491,122.8792
2014,COLUMBIA CONSERVATION DISTRICT-14-21-NA-NA-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-21,Columbia,,,,2014-05-17,0-3,0,3,,,,1.23,0.8365,3.94,4.78,7.2,0.22,0.572,0,,14.6678,9.7935,12.5,10.455,6.5,5.4366,38,75,494.04,1.2635,6.7,1.8,0.03,8,6.6912,0.13,2.1,1.46,104,49.3,0.77,36,29.1,1340,218.88,6.9,1.06,0.2,1.1175,0.2122,35.3667
2014,COLUMBIA CONSERVATION DISTRICT-14-21-NA-NA-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-21,Columbia,,,,2014-05-17,3-6,3,6,,,,1.27,0.8637,2.72,4.53,7.11,0.18,0.468,0,,15.1224,9.8094,4.7,4.0589,8.7,7.5133,31,64,222.64,0.5694,7.6,1.6,0.04,10,8.636,0.12,1.2,1.63,106,66.7,0.54,41,83.9,1520,194.56,9.2,1.06,0.2,1.1151,0.2099,34.9833
2014,COLUMBIA CONSERVATION DISTRICT-14-21-NA-NA-2014-05-17-6-12,,COLUMBIA CONSERVATION DISTRICT,,14-21,Columbia,,,,2014-05-17,6-12,6,12,,,,1.22,1.6594,2.08,5.73,7.44,0.18,0.468,0,,18.8722,14.4471,3.6,5.9731,3,4.9776,12,20,315.56,0.8071,10.7,2.9,0.04,4,6.6368,0.22,1.2,1.49,53,13.1,0.17,5,2.9,2140,352.64,9.2,1.06,0.2,1.1506,0.6632,55.2667
2014,COLUMBIA CONSERVATION DISTRICT-14-21-NA-NA-2014-05-17-12-24,,COLUMBIA CONSERVATION DISTRICT,,14-21,Columbia,,,,2014-05-17,12-24,12,24,,,,1.21,3.2917,1.36,6.43,7.58,0.23,0.598,0,,18.3589,15.0618,6.1,20.0763,2.3,7.5698,11,14,317.4,0.8118,10.5,3.7,0.05,2.97,9.7749,0.22,1.6,1.38,36.63,4.93,0.2,1.16,0.8,2100,449.92,11.5,1.06,0.2,1.1769,1.6974,70.725
2014,COLUMBIA CONSERVATION DISTRICT-14-22-NA-NA-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-22,Columbia,,,,2014-05-17,0-3,0,3,,,,1.27,0.8637,3.74,4.48,7.11,0.25,0.65,0,,13.9482,8.8365,18.8,16.2357,9,7.7724,41,74,475.64,1.2165,6.1,1.5,0.02,12,10.3632,0.09,2.2,1.56,135,52.3,0.58,39,82,1220,182.4,4.6,1.06,0.2,1.1401,0.3052,50.8667
2014,COLUMBIA CONSERVATION DISTRICT-14-22-NA-NA-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-22,Columbia,,,,2014-05-17,3-6,3,6,,,,1.29,0.8773,2.36,4.76,7.15,0.29,0.754,0,,17.6131,12.0571,17.2,15.0878,24.7,21.6668,28,51,284.28,0.7271,8.9,2.4,0.03,10,8.772,0.1,2.1,1.64,82,42.4,0.3,19,32.2,1780,291.84,6.9,1.06,0.2,1.1526,0.3584,59.7333
2014,COLUMBIA CONSERVATION DISTRICT-14-22-NA-NA-2014-05-17-6-12,,COLUMBIA CONSERVATION DISTRICT,,14-22,Columbia,,,,2014-05-17,6-12,6,12,,,,1.31,1.7819,1.82,5.73,7.44,0.15,0.39,0,,20.4466,15.7082,7.3,13.0057,3.3,5.8793,16,23,261.28,0.6682,11.6,3.4,0.04,5,8.908,0.14,1.8,1.45,47,8.4,0.17,3,1.2,2320,413.44,9.2,1.06,0.2,1.1896,1.0187,84.8917
2014,COLUMBIA CONSERVATION DISTRICT-14-22-NA-NA-2014-05-17-12-24,,COLUMBIA CONSERVATION DISTRICT,,14-22,Columbia,,,,2014-05-17,12-24,12,24,,,,1.45,3.9446,1.28,6.28,7.52,0.2,0.52,0,,24.236,19.63,5.6,22.0864,2.4,9.4656,14,16,218.96,0.56,13.5,5.5,0.07,3,11.832,0.12,1.5,1.38,39,5,0.16,1,0.3,2700,668.8,16.1,1.06,0.2,1.2139,2.6779,111.5792
2014,COLUMBIA CONSERVATION DISTRICT-14-23-NA-NA-2014-05-17-0-3,,COLUMBIA CONSERVATION DISTRICT,,14-23,Columbia,,,,2014-05-17,0-3,0,3,,,,1.26,0.8569,3.74,5.23,7.34,0.11,0.286,0,,24.3658,18.05,4.2,3.5986,3.6,3.0845,26,44,391,1,13.5,3.5,0.05,4,3.4272,0.15,2.4,1.68,81,29.5,0.62,15,3.9,2700,425.6,11.5,1.06,0.2,1.1238,0.2412,40.2
2014,COLUMBIA CONSERVATION DISTRICT-14-23-NA-NA-2014-05-17-3-6,,COLUMBIA CONSERVATION DISTRICT,,14-23,Columbia,,,,2014-05-17,3-6,3,6,,,,1.31,0.8909,2.6,4.95,7.27,0.1,0.26,0,,20.4727,14.5624,2,1.7816,4.3,3.8304,23,39,157.32,0.4024,11,3.1,0.06,5,4.454,0.12,1.6,1.9,84,32.6,0.26,19,17,2200,376.96,13.8,1.06,0.2,1.1174,0.2256,37.6
